colonia,alcaldia,latitud,longitud
VILLA COYOACAN,COYOACAN,19.34755,-99.16355
SANTA CECILIA,TLAHUAC,19.27656,-99.00628
AMERICAS UNIDAS,BENITO JUAREZ,19.3804,-99.14013
PORVENIR,AZCAPOTZALCO,19.47295,-99.14689
NUEVA ATZACOALCO,GUSTAVO A. MADERO,19.50249,-99.08424
NAN,FUERA DE CDMX,,
BENITO JUAREZ,GUSTAVO A. MADERO,19.53335,-99.14044
PUEBLO SAN LORENZO XICOTENCATL,IZTAPALAPA,19.38435,-99.02929
PUEBLO SANTIAGO AHUIZOTLA,AZCAPOTZALCO,19.47718,-99.2068
PASTEROS,AZCAPOTZALCO,19.49293,-99.19678
ADOLFO LOPEZ MATEOS,CUAJIMALPA DE MORELOS,19.36208,-99.29426
CUCHILLA DEL TESORO,GUSTAVO A. MADERO,19.44747,-99.06273
PUEBLO SANTA URSULA XITLA,TLALPAN,19.28416,-99.17572
PUEBLO SAN MATEO XALPA,XOCHIMILCO,19.23414,-99.11888
AMPLIACION AVIACION CIVIL,VENUSTIANO CARRANZA,19.41523,-99.07493
CENTRO DE AZCAPOTZALCO,AZCAPOTZALCO,19.47825,-99.18701
INSURGENTES CUICUILCO,COYOACAN,19.30254,-99.19114
SAN MIGUEL CHAPULTEPEC II SECCION,MIGUEL HIDALGO,19.41915,-99.17807
SAN PEDRO DE LOS PINOS,BENITO JUAREZ,19.38805,-99.18248
MIXCOAC,BENITO JUAREZ,19.37743,-99.19046
POLANCO V SECCION,MIGUEL HIDALGO,19.43685,-99.18426
GRANADA,MIGUEL HIDALGO,19.44033,-99.20143
POLANCO III SECCION,MIGUEL HIDALGO,19.43441,-99.19708
MARTIRES DE RIO BLANCO,GUSTAVO A. MADERO,19.4626,-99.1141
CULHUACAN CTM SECCION IX-A,COYOACAN,19.3148,-99.10382
NAN,NAN,,
EJERCITO DE ORIENTE ZONA PENON,IZTAPALAPA,19.36903,-99.02622
AMPLIACION SAN PEDRO XALPA,AZCAPOTZALCO,19.48141,-99.21907
PUEBLO SANTA CECILIA TEPETLAPA,XOCHIMILCO,19.21572,-99.0965
NARVARTE ORIENTE,BENITO JUAREZ,19.40139,-99.14826
LOS OLIVOS,TLAHUAC,19.3049,-99.06161
TLAPECHICO,ALVARO OBREGON,19.38029,-99.24329
PUEBLO SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS,19.34529,-99.27968
TORRE BLANCA,MIGUEL HIDALGO,19.45953,-99.18994
PROVIDENCIA,AZCAPOTZALCO,19.49086,-99.20752
LETRAN VALLE,BENITO JUAREZ,19.37941,-99.15914
GABRIEL RAMOS MILLAN SECCION CUCHILLA,IZTACALCO,19.38589,-99.09181
BARRIO SAN MIGUEL,MILPA ALTA,19.18753,-99.0742
C T M ARAGON,GUSTAVO A. MADERO,19.4528,-99.0566
SAN ANGEL,ALVARO OBREGON,19.34579,-99.19003
EL ROSARIO,COYOACAN,19.32853,-99.1425
INDUSTRIAL SAN ANTONIO,AZCAPOTZALCO,19.47882,-99.19447
GENERAL IGNACIO ZARAGOZA,VENUSTIANO CARRANZA,19.41327,-99.08838
ROMERO RUBIO,VENUSTIANO CARRANZA,19.44058,-99.09522
AMPLIACION NATIVITAS,XOCHIMILCO,19.2379,-99.09467
GRANJAS CABRERA,TLAHUAC,19.3003,-99.06298
CONTADERO,CUAJIMALPA DE MORELOS,19.33916,-99.31106
AMPLIACION EMILIANO ZAPATA,IZTAPALAPA,19.33948,-98.9785
PUEBLO SAN ANDRES TOTOLTEPEC,TLALPAN,19.24699,-99.17761
LOMAS DE ZARAGOZA,IZTAPALAPA,19.35091,-98.99569
SAN JOSE DE LOS CEDROS,CUAJIMALPA DE MORELOS,19.36936,-99.29287
PUEBLO SANTO TOMAS AJUSCO,TLALPAN,19.21942,-99.20324
PROGRESO TIZAPAN,ALVARO OBREGON,19.34425,-99.20247
TLALPAN,TLALPAN,19.29216,-99.17629
PARAISO,ALVARO OBREGON,19.39072,-99.21263
EX EJIDO SAN PABLO TEPETLAPA,COYOACAN,19.31844,-99.12002
